Filename,Work EX Marks,Education Marks,Relevant Skills Marks,Total Marks
abcd_sophia.json,30,20,25,75
abcd_charlotte.json,30,20,25,75
abcd@1234.json,30,20,25,75
suman@123.json,35,12,25,72
abcd_jhon.json,25,10,20,55
abcd_alicecooper.json,25,10,20,55
abcd_ethan.json,25,10,20,55
abcd_olivia.json,25,10,20,55
abcd_annaW.json,25,10,20,55
abcd_emma.json,25,10,20,55
abcd_henrey.json,25,10,15,50
abcd_chrisT.json,25,10,15,50
abcd_LauraD.json,25,10,15,50
abcd_alice.json,25,10,15,50
abcd_daniel.json,25,10,15,50
abcd_lucas.json,25,10,15,50
abcd_samanthaM.json,25,10,15,50
abcd_emilyb.json,25,10,15,50
abcd_steveC.json,25,10,15,50
abcd_nancyW.json,25,10,15,50
abcd.paul.json,25,10,15,50
abcd_davidB.json,25,10,15,50
abcd_benjamin.json,25,10,15,50
abcd_karenW.json,25,10,15,50
abcd_helenG.json,25,10,10,45
abcd_markH.json,25,10,10,45
abcd_jhonsmith.json,20,10,15,45
abcd_tomE.json,25,10,10,45
abcd_jhonanderson.json,25,10,10,45
abcd_robertL.json,25,10,10,45
abcd_maryjhon.json,25,10,10,45
abcd_phillipB.json,20,10,15,45
abcd_sarah.json,20,10,10,40
abcd_michelG.json,20,10,10,40
abcd_lindaB.json,20,5,10,35
